accuracy_score,precision_score,f1_score
0.9354838709677419,1.0,0.9361702127659575
0.8709677419354839,1.0,0.8636363636363636
0.8602150537634409,0.9512195121951219,0.8571428571428571
0.8709677419354839,0.9130434782608695,0.8749999999999999
0.8279569892473119,0.8863636363636364,0.8297872340425532
0.8602150537634409,0.9512195121951219,0.8571428571428571
0.8817204301075269,0.8979591836734694,0.888888888888889
0.8817204301075269,0.9534883720930233,0.8817204301075269
0.8172043010752689,0.8837209302325582,0.8172043010752689
0.7741935483870968,0.8717948717948718,0.7640449438202247
0.8064516129032258,0.8809523809523809,0.8043478260869565
0.8172043010752689,0.9024390243902439,0.8131868131868132
0.7956989247311828,0.8780487804878049,0.7912087912087912
0.7419354838709677,0.825,0.7333333333333334
0.7634408602150538,0.9117647058823529,0.7380952380952381
0.7956989247311828,0.8604651162790697,0.7956989247311828
0.8172043010752689,0.9024390243902439,0.8131868131868132
0.8924731182795699,0.9347826086956522,0.8958333333333334
0.8064516129032258,0.9444444444444444,0.7906976744186047
0.8709677419354839,0.975,0.8666666666666667
0.7634408602150538,0.868421052631579,0.7500000000000001
0.9032258064516129,0.9767441860465116,0.9032258064516129
0.9139784946236559,0.9565217391304348,0.9166666666666666
0.8494623655913979,1.0,0.8372093023255813
0.9354838709677419,1.0,0.9361702127659575
0.8602150537634409,0.9743589743589743,0.853932584269663
0.8817204301075269,0.9534883720930233,0.8817204301075269
0.8064516129032258,0.8478260869565217,0.8125
0.7741935483870968,0.8918918918918919,0.7586206896551725
0.8387096774193549,0.8723404255319149,0.8453608247422681
