accuracy_score,precision_score,f1_score
0.46236559139784944,0.5,0.1935483870967742
0.5053763440860215,0.5454545454545454,0.5106382978723404
0.5591397849462365,0.5584415584415584,0.6771653543307087
0.6451612903225806,0.7575757575757576,0.6024096385542169
0.5913978494623656,0.7142857142857143,0.5128205128205129
0.5913978494623656,0.5909090909090909,0.6724137931034482
0.6129032258064516,0.6666666666666666,0.6086956521739131
0.6129032258064516,0.609375,0.6842105263157895
0.6666666666666666,0.7714285714285715,0.6352941176470589
0.5806451612903226,0.6774193548387096,0.5185185185185185
0.6344086021505376,0.7222222222222222,0.6046511627906976
0.5268817204301075,0.5454545454545454,0.6206896551724138
0.6129032258064516,0.6842105263157895,0.5909090909090909
0.5376344086021505,0.6,0.49411764705882355
0.6021505376344086,0.6666666666666666,0.5842696629213484
0.6344086021505376,0.6739130434782609,0.6458333333333334
0.6451612903225806,0.6808510638297872,0.6597938144329897
0.6451612903225806,0.717948717948718,0.6292134831460674
0.6129032258064516,0.6296296296296297,0.6538461538461539
0.6881720430107527,0.7560975609756098,0.6813186813186813
0.5698924731182796,0.6785714285714286,0.48717948717948717
0.7204301075268817,0.8333333333333334,0.6976744186046512
0.6989247311827957,0.8055555555555556,0.6744186046511629
0.5698924731182796,0.625,0.5555555555555556
0.5913978494623656,0.7142857142857143,0.5128205128205129
0.6129032258064516,0.5972222222222222,0.7049180327868853
0.5591397849462365,0.6551724137931034,0.48101265822784806
0.7204301075268817,0.8333333333333334,0.6976744186046512
0.6559139784946236,0.7142857142857143,0.6521739130434783
0.6666666666666666,0.7435897435897436,0.6516853932584269
