accuracy_score,precision_score,f1_score
0.956989247311828,0.96,0.96
0.9032258064516129,0.8867924528301887,0.912621359223301
0.956989247311828,0.9791666666666666,0.9591836734693877
0.956989247311828,0.96,0.96
0.9032258064516129,0.8867924528301887,0.912621359223301
0.9247311827956989,0.9215686274509803,0.9306930693069307
0.946236559139785,0.9411764705882353,0.9504950495049505
0.956989247311828,0.9791666666666666,0.9591836734693877
0.9139784946236559,0.92,0.92
0.956989247311828,0.96,0.96
0.956989247311828,0.96,0.96
0.9354838709677419,0.9230769230769231,0.9411764705882353
0.946236559139785,0.9411764705882353,0.9504950495049505
0.9354838709677419,0.94,0.94
0.956989247311828,0.9791666666666666,0.9591836734693877
0.9032258064516129,0.9183673469387755,0.9090909090909091
0.946236559139785,0.9591836734693877,0.9494949494949495
0.946236559139785,0.9787234042553191,0.9484536082474226
0.9139784946236559,0.9375,0.9183673469387755
0.946236559139785,0.9411764705882353,0.9504950495049505
0.946236559139785,0.9411764705882353,0.9504950495049505
0.9247311827956989,0.9056603773584906,0.9320388349514563
0.946236559139785,0.9787234042553191,0.9484536082474226
0.9354838709677419,0.9230769230769231,0.9411764705882353
0.946236559139785,0.9787234042553191,0.9484536082474226
0.946236559139785,0.9411764705882353,0.9504950495049505
0.8924731182795699,0.9166666666666666,0.8979591836734694
0.9354838709677419,0.9583333333333334,0.9387755102040817
0.956989247311828,0.9791666666666666,0.9591836734693877
0.956989247311828,0.96,0.96
