accuracy_score,precision_score,f1_score
0.7419354838709677,0.7954545454545454,0.7446808510638298
0.6989247311827957,0.7619047619047619,0.6956521739130435
0.7741935483870968,0.8222222222222222,0.7789473684210526
0.7311827956989247,0.7777777777777778,0.7368421052631577
0.6989247311827957,0.7391304347826086,0.7083333333333334
0.7204301075268817,0.7727272727272727,0.7234042553191491
0.7096774193548387,0.7446808510638298,0.7216494845360825
0.7311827956989247,0.7777777777777778,0.7368421052631577
0.7526881720430108,0.8,0.7578947368421052
0.7311827956989247,0.7659574468085106,0.7422680412371133
0.7526881720430108,0.8,0.7578947368421052
0.7634408602150538,0.8181818181818182,0.7659574468085107
0.7526881720430108,0.8,0.7578947368421052
0.7419354838709677,0.782608695652174,0.7499999999999999
0.7419354838709677,0.782608695652174,0.7499999999999999
0.7311827956989247,0.7777777777777778,0.7368421052631577
0.7204301075268817,0.7727272727272727,0.7234042553191491
0.7096774193548387,0.7555555555555555,0.7157894736842104
0.7096774193548387,0.7674418604651163,0.7096774193548386
0.7419354838709677,0.7708333333333334,0.7551020408163266
0.7526881720430108,0.8292682926829268,0.7472527472527474
0.6881720430107527,0.7333333333333333,0.6947368421052631
0.7526881720430108,0.7872340425531915,0.7628865979381443
0.7204301075268817,0.7857142857142857,0.717391304347826
0.7849462365591398,0.8571428571428571,0.782608695652174
0.7311827956989247,0.7777777777777778,0.7368421052631577
0.7741935483870968,0.8085106382978723,0.7835051546391754
0.7204301075268817,0.7727272727272727,0.7234042553191491
0.7096774193548387,0.7555555555555555,0.7157894736842104
0.7419354838709677,0.7954545454545454,0.7446808510638298
