0,1,2,3
43,0,6,44
43,0,12,38
41,2,11,39
39,4,8,42
38,5,11,39
41,2,11,39
38,5,6,44
41,2,9,41
38,5,12,38
38,5,16,34
38,5,13,37
39,4,13,37
38,5,14,36
36,7,17,33
40,3,19,31
37,6,13,37
39,4,13,37
40,3,7,43
41,2,16,34
42,1,11,39
38,5,17,33
42,1,8,42
41,2,6,44
43,0,14,36
43,0,6,44
42,1,12,38
41,2,9,41
36,7,11,39
39,4,17,33
37,6,9,41
