Acuracia_Teste,Acuracia_Treino,Precisao_Teste,Precisao_Treino,F1_Teste,F1_Treino
0.5806451612903226,1.0,0.5434782608695652,1.0,0.5617977528089888,1.0
0.6774193548387096,1.0,0.7741935483870968,1.0,0.6153846153846153,1.0
0.6451612903225806,1.0,0.7272727272727273,1.0,0.6597938144329897,1.0
0.5913978494623656,1.0,0.5686274509803921,1.0,0.6041666666666666,1.0
0.6021505376344086,1.0,0.5238095238095238,1.0,0.5432098765432098,1.0
0.6666666666666666,1.0,0.6216216216216216,1.0,0.5974025974025973,1.0
0.6236559139784946,1.0,0.5909090909090909,1.0,0.5977011494252873,1.0
0.6236559139784946,1.0,0.6666666666666666,1.0,0.5977011494252873,1.0
0.6451612903225806,1.0,0.6363636363636364,1.0,0.6292134831460675,1.0
0.5806451612903226,1.0,0.62,1.0,0.6138613861386139,1.0
0.6344086021505376,1.0,0.6410256410256411,1.0,0.5952380952380952,1.0
0.6021505376344086,1.0,0.5609756097560976,1.0,0.5542168674698796,1.0
0.6021505376344086,1.0,0.4583333333333333,1.0,0.5432098765432098,1.0
0.7096774193548387,1.0,0.7017543859649122,1.0,0.7476635514018691,1.0
0.6559139784946236,1.0,0.6304347826086957,1.0,0.6444444444444444,1.0
0.6236559139784946,1.0,0.5918367346938775,1.0,0.6236559139784946,1.0
0.6021505376344086,1.0,0.5,1.0,0.5316455696202531,1.0
0.6774193548387096,1.0,0.6595744680851063,1.0,0.6739130434782609,1.0
0.6021505376344086,1.0,0.5227272727272727,1.0,0.5542168674698795,1.0
0.6559139784946236,1.0,0.6363636363636364,1.0,0.6363636363636364,1.0
0.6021505376344086,1.0,0.5681818181818182,1.0,0.5747126436781609,1.0
0.6344086021505376,1.0,0.5555555555555556,1.0,0.5405405405405405,1.0
0.7204301075268817,1.0,0.7111111111111111,1.0,0.7111111111111111,1.0
0.5483870967741935,1.0,0.5135135135135135,1.0,0.47500000000000003,1.0
0.6666666666666666,1.0,0.6078431372549019,1.0,0.6666666666666666,1.0
0.6344086021505376,1.0,0.574468085106383,1.0,0.6136363636363638,1.0
0.6451612903225806,1.0,0.6764705882352942,1.0,0.5822784810126582,1.0
0.6881720430107527,1.0,0.6829268292682927,1.0,0.6588235294117647,1.0
0.6666666666666666,1.0,0.62,1.0,0.6666666666666666,1.0
0.6774193548387096,1.0,0.6666666666666666,1.0,0.6341463414634145,1.0
