accuracy_score,precision_score,f1_score
0.41935483870967744,0.46875,0.5263157894736842
0.6666666666666666,0.7878787878787878,0.6265060240963856
0.5161290322580645,0.5423728813559322,0.5871559633027523
0.5698924731182796,0.5892857142857143,0.6226415094339622
0.6129032258064516,0.7058823529411765,0.5714285714285713
0.34408602150537637,0.2608695652173913,0.1643835616438356
0.5053763440860215,0.5769230769230769,0.3947368421052631
0.40860215053763443,0.3684210526315789,0.20289855072463772
0.5591397849462365,0.7368421052631579,0.40579710144927544
0.5483870967741935,0.7857142857142857,0.34374999999999994
0.5376344086021505,0.5522388059701493,0.6324786324786325
0.5161290322580645,0.5806451612903226,0.4444444444444445
0.5376344086021505,0.8181818181818182,0.29508196721311475
0.5483870967741935,0.75,0.36363636363636365
0.6451612903225806,0.639344262295082,0.7027027027027027
0.7634408602150538,0.78,0.78
0.45161290322580644,0.46153846153846156,0.19047619047619047
0.6451612903225806,0.639344262295082,0.7027027027027027
0.5698924731182796,0.5568181818181818,0.7101449275362319
0.5913978494623656,0.8333333333333334,0.4411764705882353
0.5913978494623656,0.875,0.42424242424242425
0.4731182795698925,1.0,0.0392156862745098
0.5591397849462365,0.8,0.36923076923076925
0.6451612903225806,0.660377358490566,0.6796116504854369
0.4946236559139785,0.56,0.37333333333333335
0.6666666666666666,0.7435897435897436,0.6516853932584269
0.3655913978494624,0.4,0.3789473684210526
0.6129032258064516,0.64,0.64
0.5913978494623656,0.573170731707317,0.712121212121212
0.5806451612903226,0.7619047619047619,0.4507042253521127
