accuracy_score,precision_score,f1_score
0.8924731182795699,0.9761904761904762,0.8913043478260869
0.978494623655914,0.98,0.98
0.9354838709677419,0.9782608695652174,0.9375
0.9032258064516129,0.9183673469387755,0.9090909090909091
0.989247311827957,1.0,0.98989898989899
0.946236559139785,0.9591836734693877,0.9494949494949495
0.967741935483871,0.9795918367346939,0.9696969696969697
0.967741935483871,0.9795918367346939,0.9696969696969697
0.9139784946236559,1.0,0.9130434782608696
0.9354838709677419,0.9782608695652174,0.9375
0.9032258064516129,0.9019607843137255,0.9108910891089109
0.9247311827956989,0.9387755102040817,0.9292929292929293
0.9032258064516129,0.9555555555555556,0.9052631578947369
0.9247311827956989,0.9056603773584906,0.9320388349514563
0.9354838709677419,0.94,0.94
0.967741935483871,1.0,0.9690721649484536
0.946236559139785,0.9245283018867925,0.9514563106796116
0.8602150537634409,0.9302325581395349,0.8602150537634408
0.9139784946236559,0.9565217391304348,0.9166666666666666
0.9247311827956989,0.9777777777777777,0.9263157894736842
0.9139784946236559,0.9772727272727273,0.9148936170212766
0.9139784946236559,0.9375,0.9183673469387755
0.9354838709677419,0.9583333333333334,0.9387755102040817
0.946236559139785,0.9591836734693877,0.9494949494949495
0.9247311827956989,0.9387755102040817,0.9292929292929293
0.978494623655914,1.0,0.9795918367346939
0.9139784946236559,0.9565217391304348,0.9166666666666666
0.8817204301075269,0.8979591836734694,0.888888888888889
0.946236559139785,0.9591836734693877,0.9494949494949495
0.967741935483871,1.0,0.9690721649484536
