accuracy_score,precision_score,f1_score
0.7956989247311828,0.7924528301886793,0.8155339805825242
0.7419354838709677,0.825,0.7333333333333334
0.7311827956989247,0.8787878787878788,0.6987951807228915
0.7311827956989247,0.8048780487804879,0.7252747252747254
0.7634408602150538,0.8333333333333334,0.7608695652173915
0.7311827956989247,0.8378378378378378,0.7126436781609196
0.7526881720430108,0.8,0.7578947368421052
0.6559139784946236,0.9090909090909091,0.5555555555555556
0.7526881720430108,0.8,0.7578947368421052
0.7741935483870968,0.8372093023255814,0.7741935483870969
0.7419354838709677,0.825,0.7333333333333334
0.7419354838709677,0.8823529411764706,0.7142857142857143
0.7311827956989247,0.8048780487804879,0.7252747252747254
0.6989247311827957,0.775,0.6888888888888889
0.7741935483870968,0.8717948717948718,0.7640449438202247
0.7849462365591398,0.8571428571428571,0.782608695652174
0.7311827956989247,0.8787878787878788,0.6987951807228915
0.7204301075268817,0.75,0.7346938775510204
0.7634408602150538,0.8888888888888888,0.7441860465116279
0.7634408602150538,0.75,0.7924528301886793
0.7634408602150538,0.85,0.7555555555555556
0.7526881720430108,0.8648648648648649,0.7356321839080459
0.7634408602150538,0.85,0.7555555555555556
0.7204301075268817,0.7608695652173914,0.7291666666666667
0.7634408602150538,0.85,0.7555555555555556
0.7634408602150538,0.8333333333333334,0.7608695652173915
0.7634408602150538,0.8333333333333334,0.7608695652173915
0.7526881720430108,0.8292682926829268,0.7472527472527474
0.7204301075268817,0.8529411764705882,0.6904761904761905
0.7634408602150538,0.85,0.7555555555555556
