accuracy_score,precision_score,f1_score
0.967741935483871,0.9607843137254902,0.9702970297029702
0.9032258064516129,0.9555555555555556,0.9052631578947369
0.956989247311828,0.9423076923076923,0.9607843137254902
0.9354838709677419,0.9583333333333334,0.9387755102040817
0.9139784946236559,0.9565217391304348,0.9166666666666666
0.9354838709677419,0.94,0.94
0.956989247311828,0.96,0.96
0.967741935483871,0.9795918367346939,0.9696969696969697
0.989247311827957,1.0,0.98989898989899
0.9139784946236559,0.92,0.92
0.967741935483871,0.9607843137254902,0.9702970297029702
0.9247311827956989,0.9387755102040817,0.9292929292929293
0.967741935483871,0.9795918367346939,0.9696969696969697
0.967741935483871,0.9795918367346939,0.9696969696969697
0.967741935483871,0.9795918367346939,0.9696969696969697
0.946236559139785,0.9787234042553191,0.9484536082474226
0.967741935483871,0.9607843137254902,0.9702970297029702
0.9032258064516129,0.9361702127659575,0.9072164948453608
0.946236559139785,0.9787234042553191,0.9484536082474226
0.967741935483871,1.0,0.9690721649484536
0.956989247311828,0.96,0.96
0.9247311827956989,0.9387755102040817,0.9292929292929293
0.946236559139785,0.9591836734693877,0.9494949494949495
0.9354838709677419,0.9583333333333334,0.9387755102040817
0.956989247311828,0.9791666666666666,0.9591836734693877
0.967741935483871,1.0,0.9690721649484536
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.989247311827957,1.0,0.98989898989899
0.9247311827956989,0.9387755102040817,0.9292929292929293
