accuracy_score,precision_score,f1_score
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.967741935483871,0.9607843137254902,0.9702970297029702
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
0.967741935483871,0.9607843137254902,0.9702970297029702
0.978494623655914,0.98,0.98
0.978494623655914,0.98,0.98
0.967741935483871,0.9607843137254902,0.9702970297029702
