0,1,2,3
41,2,1,49
41,2,7,43
40,3,1,49
41,2,4,46
41,2,6,44
40,3,3,47
41,2,2,48
42,1,2,48
43,0,1,49
39,4,4,46
41,2,1,49
40,3,4,46
42,1,2,48
42,1,2,48
42,1,2,48
42,1,4,46
41,2,1,49
40,3,6,44
42,1,4,46
43,0,3,47
41,2,2,48
40,3,4,46
41,2,3,47
41,2,4,46
42,1,3,47
43,0,3,47
42,1,1,49
42,1,1,49
43,0,1,49
40,3,4,46
